c1,c2,c3,c4
0.2,0.25,0.29,0.26
0.2,0.2525,0.29,0.2575
0.2025,0.2525,0.2875,0.2575
0.2025,0.25,0.29,0.2575
0.2025,0.2475,0.29,0.26
0.2025,0.245,0.2925,0.26
0.205,0.245,0.29,0.26
0.205,0.2475,0.29,0.2575
0.2075,0.2475,0.29,0.255
0.21,0.2475,0.2875,0.255
0.21,0.245,0.2875,0.2575
0.2125,0.245,0.285,0.2575
0.2125,0.245,0.285,0.2575
0.21,0.2475,0.285,0.2575
0.21,0.2475,0.2825,0.26
0.2075,0.2475,0.285,0.26
0.2075,0.2475,0.285,0.26
0.2075,0.2475,0.285,0.26
0.2075,0.2475,0.285,0.26
0.2075,0.2475,0.285,0.26
0.2075,0.2475,0.285,0.26
0.2075,0.2475,0.2875,0.2575
0.2075,0.25,0.285,0.2575
0.205,0.2525,0.285,0.2575
0.205,0.25,0.2875,0.2575
0.205,0.25,0.2875,0.2575
0.205,0.25,0.2875,0.2575
0.2025,0.2525,0.2875,0.2575
0.2025,0.2525,0.2875,0.2575
0.205,0.25,0.2875,0.2575
0.2025,0.2525,0.2875,0.2575
0.2,0.255,0.2875,0.2575
0.2,0.2525,0.29,0.2575
0.2,0.2525,0.2925,0.255
0.2,0.2525,0.29,0.2575
0.1975,0.255,0.29,0.2575
0.1975,0.2575,0.29,0.255
0.1975,0.255,0.2925,0.255
0.1975,0.2525,0.295,0.255
0.1975,0.25,0.2975,0.255
0.1975,0.25,0.2975,0.255
0.2,0.2475,0.2975,0.255
0.2025,0.245,0.2975,0.255
0.2025,0.245,0.2975,0.255
0.2025,0.2425,0.2975,0.2575
0.2025,0.24,0.3,0.2575
0.205,0.2375,0.3,0.2575
0.2075,0.2375,0.2975,0.2575
0.2075,0.24,0.295,0.2575
0.2075,0.24,0.295,0.2575
0.21,0.24,0.2925,0.2575
0.21,0.24,0.29,0.26
0.21,0.2375,0.2925,0.26
0.21,0.2375,0.2925,0.26
0.21,0.235,0.295,0.26
0.21,0.235,0.295,0.26
0.2075,0.235,0.295,0.2625
0.2075,0.235,0.2925,0.265
0.2075,0.2375,0.2925,0.2625
0.2075,0.2375,0.2925,0.2625
0.2075,0.2375,0.295,0.26
0.2075,0.24,0.2925,0.26
0.2075,0.24,0.2925,0.26
0.21,0.24,0.29,0.26
0.21,0.24,0.29,0.26
0.2125,0.2375,0.29,0.26
0.2125,0.2375,0.2925,0.2575
0.2125,0.24,0.29,0.2575
0.2125,0.24,0.29,0.2575
0.2125,0.2425,0.29,0.255
0.2125,0.24,0.29,0.2575
0.215,0.24,0.29,0.255
0.215,0.2425,0.2875,0.255
0.215,0.245,0.285,0.255
0.2175,0.245,0.285,0.2525
0.22,0.2425,0.285,0.2525
0.2225,0.2425,0.285,0.25
0.2225,0.2425,0.285,0.25
0.22,0.2425,0.2875,0.25
0.2225,0.2425,0.285,0.25
0.225,0.2425,0.2825,0.25
0.2275,0.2425,0.2825,0.2475
0.2275,0.2425,0.2825,0.2475
0.2275,0.2425,0.2825,0.2475
0.23,0.24,0.2825,0.2475
0.23,0.24,0.28,0.25
0.23,0.2425,0.2775,0.25
0.23,0.2425,0.2775,0.25
0.2325,0.2425,0.275,0.25
0.2325,0.2425,0.275,0.25
0.2325,0.2425,0.275,0.25
0.2325,0.2425,0.275,0.25
0.2325,0.24,0.275,0.2525
0.23,0.24,0.2775,0.2525
0.23,0.2425,0.275,0.2525
0.2275,0.2425,0.2775,0.2525
0.2275,0.2425,0.2775,0.2525
0.2275,0.2425,0.28,0.25
0.2275,0.2425,0.28,0.25
0.225,0.2425,0.2825,0.25
0.2225,0.245,0.2825,0.25
0.2225,0.2425,0.2825,0.2525
0.225,0.2425,0.28,0.2525
0.225,0.2425,0.28,0.2525
0.2275,0.2425,0.2775,0.2525
0.23,0.2425,0.2775,0.25
0.2325,0.2425,0.2775,0.2475
0.23,0.2425,0.2775,0.25
0.2325,0.2425,0.2775,0.2475
0.235,0.2425,0.2775,0.245
0.235,0.245,0.275,0.245
0.2325,0.245,0.275,0.2475
0.235,0.245,0.275,0.245
0.235,0.245,0.275,0.245
0.2375,0.2425,0.275,0.245
0.2375,0.24,0.275,0.2475
0.2375,0.24,0.2775,0.245
